batter,date,venue,bowling_team,recent_form,venue_performance,opponent_performance,overall_average,future_runs
JH Kallis,2010-04-08,M Chinnaswamy Stadium,Deccan Chargers,42.0,24.25,26.545454545454547,25.54736842105263,8.0
V Kohli,2010-04-08,M Chinnaswamy Stadium,Deccan Chargers,37.0,32.310344827586206,30.6,32.84426229508197,3.0
R Dravid,2010-04-08,M Chinnaswamy Stadium,Deccan Chargers,15.2,20.214285714285715,30.818181818181817,26.51219512195122,52.0
A Symonds,2010-04-08,M Chinnaswamy Stadium,Royal Challengers Bangalore,27.0,53.0,25.0,27.055555555555557,27.0
TL Suman,2010-04-08,M Chinnaswamy Stadium,Royal Challengers Bangalore,25.6,78.0,22.2,17.333333333333332,55.0
AC Gilchrist,2010-04-08,M Chinnaswamy Stadium,Royal Challengers Bangalore,18.8,31.75,33.54545454545455,25.8625,7.0
RG Sharma,2010-04-08,M Chinnaswamy Stadium,Royal Challengers Bangalore,27.4,20.666666666666668,25.580645161290324,26.41434262948207,8.0
KC Sangakkara,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,35.6,37.09090909090909,37.375,24.808823529411764,33.0
R Sathish,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,9.8,16.8,18.5,11.25,1.0
DPMD Jayawardene,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,44.2,15.125,26.1,23.17948717948718,38.0
Harbhajan Singh,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,19.2,5.25,11.333333333333334,9.465909090909092,1.0
Yuvraj Singh,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,22.8,25.153846153846153,14.421052631578947,21.857142857142858,21.0
IK Pathan,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,19.0,13.11111111111111,7.583333333333333,14.024390243902438,12.0
KA Pollard,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,13.0,10.6,25.3,20.458333333333332,25.0
R McLaren,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,5.2,1.0,0.0,12.23076923076923,40.0
S Dhawan,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,18.0,17.8,30.541666666666668,30.6289592760181,10.0
AB Barath,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,14.0,33.0,33.0,14.0,2.0
SS Tiwary,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,19.4,8.333333333333334,10.4,20.465753424657535,15.0
SR Tendulkar,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,35.0,23.0,27.0,29.923076923076923,89.0
AT Rayudu,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,21.2,20.2,21.0,23.502702702702702,0.0
Z Khan,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,6.2,0.5,0.3333333333333333,4.333333333333333,1.0
JP Duminy,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,33.8,21.5,24.285714285714285,27.053333333333335,31.0
S Sriram,2010-04-10,M Chinnaswamy Stadium,Kolkata Knight Riders,15.5,27.0,27.0,15.5,4.0
MK Tiwary,2010-04-10,M Chinnaswamy Stadium,Royal Challengers Bangalore,13.2,14.2,18.363636363636363,20.42168674698795,27.0
AC Gilchrist,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Chennai Super Kings,20.2,13.666666666666666,25.5,25.8625,0.0
R Ashwin,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,5.2,5.0,3.6666666666666665,8.98876404494382,6.0
LRPL Taylor,2010-04-10,M Chinnaswamy Stadium,Kolkata Knight Riders,16.2,24.2,24.142857142857142,18.833333333333332,1.0
RG Sharma,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Chennai Super Kings,20.0,44.0,26.352941176470587,26.41434262948207,51.0
SC Ganguly,2010-04-10,M Chinnaswamy Stadium,Royal Challengers Bangalore,43.6,16.333333333333332,13.857142857142858,24.089285714285715,10.0
I Sharma,2010-04-10,M Chinnaswamy Stadium,Royal Challengers Bangalore,4.4,0.0,0.0,2.7142857142857144,1.0
RV Uthappa,2010-04-10,M Chinnaswamy Stadium,Kolkata Knight Riders,21.4,22.133333333333333,20.214285714285715,25.14720812182741,34.0
JH Kallis,2010-04-10,M Chinnaswamy Stadium,Kolkata Knight Riders,38.2,24.25,27.2,25.54736842105263,27.0
R Dravid,2010-04-10,M Chinnaswamy Stadium,Kolkata Knight Riders,21.4,20.214285714285715,20.4,26.51219512195122,49.0
AB Dinda,2010-04-10,M Chinnaswamy Stadium,Royal Challengers Bangalore,0.8,0.5,2.3333333333333335,1.625,0.0
AB Agarkar,2010-04-10,M Chinnaswamy Stadium,Royal Challengers Bangalore,16.6,6.0,6.0,9.944444444444445,9.0
WP Saha,2010-04-10,M Chinnaswamy Stadium,Royal Challengers Bangalore,13.2,32.142857142857146,17.85,20.517482517482517,1.0
CH Gayle,2010-04-10,M Chinnaswamy Stadium,Royal Challengers Bangalore,39.2,36.523809523809526,44.714285714285715,35.43971631205674,7.0
MS Dhoni,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,14.6,7.0,28.1,22.99561403508772,0.0
MD Mishra,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Chennai Super Kings,15.4,31.0,8.5,13.941176470588236,41.0
ML Hayden,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,23.8,19.0,27.2,34.59375,0.0
MEK Hussey,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,38.0,8.0,27.0,34.08620689655172,15.0
CA Pujara,2010-04-10,M Chinnaswamy Stadium,Royal Challengers Bangalore,15.4,13.0,10.333333333333334,17.727272727272727,45.0
DR Smith,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Chennai Super Kings,16.2,8.5,25.88888888888889,27.102272727272727,5.0
BAW Mendis,2010-04-10,M Chinnaswamy Stadium,Royal Challengers Bangalore,1.0,1.0,1.5,1.0,2.0
S Badrinath,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,14.4,6.0,10.875,22.16923076923077,30.0
SK Raina,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,28.4,52.0,31.0,27.68,78.0
M Vijay,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,56.8,23.0,13.0,24.942857142857143,50.0
A Symonds,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Chennai Super Kings,32.2,20.333333333333332,32.75,27.055555555555557,19.0
DE Bollinger,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,5.25,2.0,2.0,5.25,16.0
BB McCullum,2010-04-10,M Chinnaswamy Stadium,Royal Challengers Bangalore,32.2,34.857142857142854,37.93333333333333,26.440366972477065,0.0
TL Suman,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Chennai Super Kings,34.8,27.5,17.2,17.333333333333332,0.0
AD Mathews,2010-04-10,M Chinnaswamy Stadium,Royal Challengers Bangalore,18.4,4.0,9.142857142857142,17.658536585365855,48.0
SR Watson,2010-04-11,Sawai Mansingh Stadium,Mumbai Indians,39.8,30.17241379310345,21.181818181818183,27.5177304964539,22.0
YK Pathan,2010-04-11,Sawai Mansingh Stadium,Mumbai Indians,12.8,17.25,21.454545454545453,21.058823529411764,11.0
AT Rayudu,2010-04-11,Sawai Mansingh Stadium,Rajasthan Royals,20.0,21.4,18.85,23.502702702702702,24.0
NV Ojha,2010-04-11,Sawai Mansingh Stadium,Mumbai Indians,33.2,12.4,8.0,16.53191489361702,7.0
FY Fazal,2010-04-11,Sawai Mansingh Stadium,Mumbai Indians,13.4,10.0,10.0,16.636363636363637,13.0
DL Vettori,2010-04-11,Feroz Shah Kotla,Kings XI Punjab,7.6,13.0,1.6666666666666667,7.5625,3.0
KC Sangakkara,2010-04-11,Feroz Shah Kotla,Delhi Daredevils,36.2,27.75,21.727272727272727,24.808823529411764,52.0
A Nehra,2010-04-11,Feroz Shah Kotla,Kings XI Punjab,1.0,11.5,1.2,2.411764705882353,22.0
JP Duminy,2010-04-11,Sawai Mansingh Stadium,Rajasthan Royals,28.2,44.5,30.88888888888889,27.053333333333335,21.0
DPMD Jayawardene,2010-04-11,Feroz Shah Kotla,Delhi Daredevils,48.6,22.88235294117647,17.142857142857142,23.17948717948718,93.0
G Gambhir,2010-04-11,Feroz Shah Kotla,Kings XI Punjab,23.6,37.111111111111114,31.73913043478261,27.927152317880793,17.0
AA Jhunjhunwala,2010-04-11,Sawai Mansingh Stadium,Mumbai Indians,10.6,17.5,15.333333333333334,14.466666666666667,13.0
AS Raut,2010-04-11,Sawai Mansingh Stadium,Mumbai Indians,6.8,19.0,20.0,12.125,32.0
KD Karthik,2010-04-11,Feroz Shah Kotla,Kings XI Punjab,22.4,25.818181818181817,25.318181818181817,20.78540772532189,11.0
KA Pollard,2010-04-11,Sawai Mansingh Stadium,Rajasthan Royals,17.8,12.2,19.333333333333332,20.458333333333332,45.0
SS Tiwary,2010-04-11,Sawai Mansingh Stadium,Rajasthan Royals,21.6,11.5,25.714285714285715,20.465753424657535,38.0
Yuvraj Singh,2010-04-11,Feroz Shah Kotla,Delhi Daredevils,26.6,24.22222222222222,27.0,21.857142857142858,20.0
R Bhatia,2010-04-11,Feroz Shah Kotla,Kings XI Punjab,6.0,11.75,7.4,7.276595744680851,0.0
V Sehwag,2010-04-11,Feroz Shah Kotla,Kings XI Punjab,25.2,28.272727272727273,25.0,26.23076923076923,20.0
R Sathish,2010-04-11,Sawai Mansingh Stadium,Rajasthan Royals,9.0,6.333333333333333,5.8,11.25,11.0
PD Collingwood,2010-04-11,Feroz Shah Kotla,Kings XI Punjab,30.0,39.8,4.0,29.0,2.0
A Mishra,2010-04-11,Feroz Shah Kotla,Kings XI Punjab,4.6,7.0,4.5,6.927272727272728,12.0
DA Warner,2010-04-11,Feroz Shah Kotla,Kings XI Punjab,30.0,25.884615384615383,47.68421052631579,35.69021739130435,31.0
IK Pathan,2010-04-11,Feroz Shah Kotla,Delhi Daredevils,17.0,10.722222222222221,14.0,14.024390243902438,1.0
MJ Lumb,2010-04-11,Sawai Mansingh Stadium,Mumbai Indians,28.6,33.333333333333336,4.0,23.166666666666668,9.0
AC Voges,2010-04-11,Sawai Mansingh Stadium,Mumbai Indians,29.0,28.0,28.0,25.857142857142858,28.0
M Manhas,2010-04-11,Feroz Shah Kotla,Kings XI Punjab,15.6,20.5,26.166666666666668,13.526315789473685,25.0
SR Tendulkar,2010-04-11,Sawai Mansingh Stadium,Rajasthan Royals,41.8,37.0,34.125,29.923076923076923,30.0
A Kumble,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,2.4,2.0,1.3333333333333333,2.3333333333333335,1.0
B Sumanth,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Royal Challengers Bangalore,8.75,6.0,6.0,8.75,6.0
R Dravid,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,28.4,49.0,30.818181818181817,26.51219512195122,5.0
AC Gilchrist,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Royal Challengers Bangalore,18.4,13.666666666666666,33.54545454545455,25.8625,9.0
DW Steyn,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,2.0,0.0,0.0,5.0606060606060606,0.0
RV Uthappa,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,24.0,34.0,13.8,25.14720812182741,26.0
LRPL Taylor,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,13.0,1.0,10.666666666666666,18.833333333333332,10.0
TL Suman,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Royal Challengers Bangalore,31.8,27.5,22.2,17.333333333333332,43.0
MD Mishra,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Royal Challengers Bangalore,21.0,31.0,13.5,13.941176470588236,20.0
RG Sharma,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Royal Challengers Bangalore,29.8,44.0,25.580645161290324,26.41434262948207,68.0
A Symonds,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Royal Challengers Bangalore,27.0,20.333333333333332,25.0,27.055555555555557,4.0
V Kohli,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,30.0,3.0,30.6,32.84426229508197,14.0
RJ Harris,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Royal Challengers Bangalore,8.0,7.0,9.2,5.571428571428571,15.0
JH Kallis,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,33.2,27.0,26.545454545454547,25.54736842105263,0.0
MK Pandey,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,14.8,0.0,26.5,24.424050632911392,14.0
R Vinay Kumar,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,4.6,4.0,9.25,7.380952380952381,10.0
CL White,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,9.6,4.0,16.0,21.57777777777778,31.0
HH Gibbs,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",Royal Challengers Bangalore,26.2,12.0,27.428571428571427,24.61111111111111,18.0
PD Collingwood,2010-04-13,Brabourne Stadium,Mumbai Indians,19.8,2.0,2.0,29.0,51.0
ML Hayden,2010-04-13,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,20.0,31.444444444444443,23.666666666666668,34.59375,1.0
SC Ganguly,2010-04-13,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,44.6,15.333333333333334,11.285714285714286,24.089285714285715,75.0
LR Shukla,2010-04-13,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,18.4,19.0,13.11111111111111,12.272727272727273,14.0
KA Pollard,2010-04-13,Brabourne Stadium,Delhi Daredevils,22.8,21.333333333333332,18.294117647058822,20.458333333333332,20.0
PJ Sangwan,2010-04-13,Brabourne Stadium,Mumbai Indians,3.0,6.0,4.0,1.8571428571428572,4.0
AD Mathews,2010-04-13,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,23.2,37.5,27.0,17.658536585365855,11.0
SS Tiwary,2010-04-13,Brabourne Stadium,Delhi Daredevils,23.0,35.57142857142857,24.666666666666668,20.465753424657535,46.0
M Vijay,2010-04-13,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,58.4,30.857142857142858,19.692307692307693,24.942857142857143,17.0
BB McCullum,2010-04-13,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,28.2,31.5,26.11111111111111,26.440366972477065,6.0
SK Raina,2010-04-13,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,41.2,28.304347826086957,36.04347826086956,27.68,15.0
KD Karthik,2010-04-13,Brabourne Stadium,Mumbai Indians,24.6,11.0,16.46153846153846,20.78540772532189,13.0
AB de Villiers,2010-04-13,Brabourne Stadium,Mumbai Indians,17.8,4.0,32.958333333333336,30.476470588235294,54.0
AT Rayudu,2010-04-13,Brabourne Stadium,Delhi Daredevils,23.0,24.666666666666668,27.9375,23.502702702702702,46.0
A Mishra,2010-04-13,Brabourne Stadium,Mumbai Indians,6.4,6.5,8.8,6.927272727272728,4.0
Iqbal Abdulla,2010-04-13,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,6.769230769230769,1.0,1.0,6.769230769230769,3.0
AB Agarkar,2010-04-13,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,10.6,10.0,7.666666666666667,9.944444444444445,7.0
V Sehwag,2010-04-13,Brabourne Stadium,Mumbai Indians,27.6,20.0,30.785714285714285,26.23076923076923,4.0
MK Tiwary,2010-04-13,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,18.6,19.0,14.416666666666666,20.42168674698795,27.0
DA Warner,2010-04-13,Brabourne Stadium,Mumbai Indians,14.8,27.5,33.04545454545455,35.69021739130435,0.0
DJ Hussey,2010-04-13,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,14.8,7.25,10.25,21.672131147540984,20.0
AB McDonald,2010-04-13,Brabourne Stadium,Mumbai Indians,13.666666666666666,33.0,33.0,13.666666666666666,8.0
G Gambhir,2010-04-13,Brabourne Stadium,Mumbai Indians,26.8,9.0,22.238095238095237,27.927152317880793,57.0
WP Saha,2010-04-13,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,9.0,21.714285714285715,22.8125,20.517482517482517,46.0
CH Gayle,2010-04-13,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,34.6,33.6,26.333333333333332,35.43971631205674,0.0
JP Duminy,2010-04-13,Brabourne Stadium,Delhi Daredevils,31.6,38.5,17.0,27.053333333333335,42.0
SR Tendulkar,2010-04-13,Brabourne Stadium,Delhi Daredevils,45.6,31.5,29.4,29.923076923076923,19.0
AS Raut,2010-04-14,Sawai Mansingh Stadium,Royal Challengers Bangalore,13.0,19.0,18.5,12.125,2.0
LRPL Taylor,2010-04-14,Sawai Mansingh Stadium,Rajasthan Royals,9.6,16.666666666666668,15.142857142857142,18.833333333333332,9.0
NV Ojha,2010-04-14,Sawai Mansingh Stadium,Royal Challengers Bangalore,29.2,12.4,16.727272727272727,16.53191489361702,18.0
AA Jhunjhunwala,2010-04-14,Sawai Mansingh Stadium,Royal Challengers Bangalore,11.0,17.5,9.0,14.466666666666667,10.0
YK Pathan,2010-04-14,Sawai Mansingh Stadium,Royal Challengers Bangalore,10.2,17.25,16.227272727272727,21.058823529411764,8.0
JH Kallis,2010-04-14,Sawai Mansingh Stadium,Rajasthan Royals,31.4,21.0,20.583333333333332,25.54736842105263,14.0
V Kohli,2010-04-14,Sawai Mansingh Stadium,Rajasthan Royals,26.0,18.714285714285715,25.466666666666665,32.84426229508197,37.0
KP Pietersen,2010-04-14,Sawai Mansingh Stadium,Rajasthan Royals,36.0,49.0,27.0,27.805555555555557,21.0
R Dravid,2010-04-14,Sawai Mansingh Stadium,Rajasthan Royals,29.2,30.625,29.2,26.51219512195122,16.0
AC Voges,2010-04-14,Sawai Mansingh Stadium,Royal Challengers Bangalore,27.2,28.0,28.0,25.857142857142858,8.0
MK Pandey,2010-04-14,Sawai Mansingh Stadium,Rajasthan Royals,9.8,24.8,27.357142857142858,24.424050632911392,16.0
RV Uthappa,2010-04-14,Sawai Mansingh Stadium,Rajasthan Royals,24.8,28.285714285714285,22.529411764705884,25.14720812182741,4.0
MJ Lumb,2010-04-14,Sawai Mansingh Stadium,Royal Challengers Bangalore,30.4,33.333333333333336,9.5,23.166666666666668,0.0
SR Watson,2010-04-14,Sawai Mansingh Stadium,Royal Challengers Bangalore,33.8,30.17241379310345,20.533333333333335,27.5177304964539,44.0
AG Paunikar,2010-04-14,Sawai Mansingh Stadium,Royal Challengers Bangalore,9.8,4.666666666666667,0.0,9.8,20.0
SK Raina,2010-04-15,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,36.2,28.304347826086957,23.045454545454547,27.68,46.0
DA Warner,2010-04-15,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,14.0,21.5,33.142857142857146,35.69021739130435,5.0
V Sehwag,2010-04-15,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,24.6,13.5,28.928571428571427,26.23076923076923,8.0
MS Dhoni,2010-04-15,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,10.4,26.627906976744185,25.63157894736842,22.99561403508772,54.0
KD Karthik,2010-04-15,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,13.4,24.333333333333332,23.451612903225808,20.78540772532189,1.0
S Badrinath,2010-04-15,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,15.4,17.52,23.125,22.16923076923077,53.0
R Ashwin,2010-04-15,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,4.8,5.777777777777778,6.6,8.98876404494382,6.0
M Manhas,2010-04-15,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,18.4,22.5,15.4,13.526315789473685,23.0
DE Bollinger,2010-04-15,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,5.25,9.5,16.0,5.25,0.0
JA Morkel,2010-04-15,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,22.2,19.48,10.0,14.552238805970148,14.0
TM Dilshan,2010-04-15,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,6.6,0.5,15.8,23.06,11.0
MEK Hussey,2010-04-15,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,17.8,40.38095238095238,29.375,34.08620689655172,83.0
G Gambhir,2010-04-15,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,29.6,26.714285714285715,26.8125,27.927152317880793,4.0
L Balaji,2010-04-15,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,4.0,6.0,2.6666666666666665,2.769230769230769,1.0
ML Hayden,2010-04-15,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,17.8,31.444444444444443,45.25,34.59375,5.0
M Vijay,2010-04-15,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,46.2,30.857142857142858,30.454545454545453,24.942857142857143,13.0
KC Sangakkara,2010-04-16,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,37.6,42.5,31.0,24.808823529411764,33.0
SE Marsh,2010-04-16,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,39.4,47.714285714285715,31.666666666666668,36.072463768115945,88.0
Yuvraj Singh,2010-04-16,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,23.4,10.5,14.75,21.857142857142858,1.0
MD Mishra,2010-04-16,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,19.2,20.0,20.0,13.941176470588236,25.0
AC Gilchrist,2010-04-16,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,16.4,36.875,23.5,25.8625,10.0
RG Sharma,2010-04-16,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,41.2,46.5,27.958333333333332,26.41434262948207,11.0
IK Pathan,2010-04-16,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,13.6,10.8,15.714285714285714,14.024390243902438,44.0
TL Suman,2010-04-16,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,37.4,43.0,17.666666666666668,17.333333333333332,5.0
DPMD Jayawardene,2010-04-16,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,63.2,40.25,31.285714285714285,23.17948717948718,21.0
B Sumanth,2010-04-16,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,8.75,6.0,6.0,8.75,7.0
A Symonds,2010-04-16,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,23.6,4.0,25.666666666666668,27.055555555555557,54.0
MR Marsh,2010-04-16,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,18.47222222222222,15.0,10.666666666666666,18.47222222222222,13.0
YK Pathan,2010-04-17,Eden Gardens,Kolkata Knight Riders,11.0,21.0,21.8,21.058823529411764,11.0
LRPL Taylor,2010-04-17,M Chinnaswamy Stadium,Mumbai Indians,7.0,24.2,15.25,18.833333333333332,31.0
R Dravid,2010-04-17,M Chinnaswamy Stadium,Mumbai Indians,29.6,20.214285714285715,17.727272727272727,26.51219512195122,23.0
KA Pollard,2010-04-17,M Chinnaswamy Stadium,Royal Challengers Bangalore,22.6,26.5,23.166666666666668,20.458333333333332,33.0
SK Warne,2010-04-17,Eden Gardens,Kolkata Knight Riders,1.8,3.0,5.666666666666667,7.333333333333333,3.0
MK Pandey,2010-04-17,M Chinnaswamy Stadium,Mumbai Indians,12.0,28.1,32.416666666666664,24.424050632911392,5.0
KP Pietersen,2010-04-17,M Chinnaswamy Stadium,Mumbai Indians,37.6,27.0,27.142857142857142,27.805555555555557,19.0
DW Steyn,2010-04-17,M Chinnaswamy Stadium,Mumbai Indians,1.8,2.5,4.714285714285714,5.0606060606060606,5.0
A Kumble,2010-04-17,M Chinnaswamy Stadium,Mumbai Indians,1.2,1.6666666666666667,3.0,2.3333333333333335,1.0
FY Fazal,2010-04-17,Eden Gardens,Kolkata Knight Riders,12.6,8.0,15.666666666666666,16.636363636363637,3.0
P Dogra,2010-04-17,Eden Gardens,Kolkata Knight Riders,6.8,7.0,5.0,10.583333333333334,6.0
R Vinay Kumar,2010-04-17,M Chinnaswamy Stadium,Mumbai Indians,5.4,9.5,12.5,7.380952380952381,8.0
JH Kallis,2010-04-17,M Chinnaswamy Stadium,Mumbai Indians,23.4,24.25,36.53846153846154,25.54736842105263,11.0
SR Tendulkar,2010-04-17,M Chinnaswamy Stadium,Royal Challengers Bangalore,42.4,24.666666666666668,22.416666666666668,29.923076923076923,9.0
CH Gayle,2010-04-17,Eden Gardens,Rajasthan Royals,33.8,46.666666666666664,32.470588235294116,35.43971631205674,102.0
NV Ojha,2010-04-17,Eden Gardens,Kolkata Knight Riders,14.0,13.166666666666666,16.1875,16.53191489361702,29.0
RV Uthappa,2010-04-17,M Chinnaswamy Stadium,Mumbai Indians,23.2,22.133333333333333,22.76923076923077,25.14720812182741,26.0
JP Duminy,2010-04-17,M Chinnaswamy Stadium,Royal Challengers Bangalore,27.6,41.0,35.5,27.053333333333335,19.0
R McLaren,2010-04-17,M Chinnaswamy Stadium,Royal Challengers Bangalore,11.0,23.333333333333332,23.333333333333332,12.23076923076923,0.0
AM Nayar,2010-04-17,M Chinnaswamy Stadium,Royal Challengers Bangalore,19.8,4.0,11.875,13.44,22.0
V Kohli,2010-04-17,M Chinnaswamy Stadium,Mumbai Indians,25.0,32.310344827586206,26.875,32.84426229508197,9.0
SK Trivedi,2010-04-17,Eden Gardens,Kolkata Knight Riders,5.2,2.0,2.0,3.0,0.0
CA Pujara,2010-04-17,Eden Gardens,Rajasthan Royals,22.4,22.333333333333332,38.0,17.727272727272727,25.0
BB McCullum,2010-04-17,Eden Gardens,Rajasthan Royals,13.2,26.266666666666666,15.9,26.440366972477065,57.0
AT Rayudu,2010-04-17,M Chinnaswamy Stadium,Royal Challengers Bangalore,21.2,33.625,30.333333333333332,23.502702702702702,27.0
SR Watson,2010-04-17,Eden Gardens,Kolkata Knight Riders,37.0,22.428571428571427,29.941176470588236,27.5177304964539,22.0
SC Ganguly,2010-04-17,Eden Gardens,Rajasthan Royals,42.0,35.46666666666667,31.625,24.089285714285715,42.0
AS Raut,2010-04-17,Eden Gardens,Kolkata Knight Riders,11.2,6.5,11.333333333333334,12.125,11.0
AJ Finch,2010-04-17,Eden Gardens,Kolkata Knight Riders,23.244444444444444,23.2,24.23076923076923,23.244444444444444,8.0
A Nehra,2010-04-18,Feroz Shah Kotla,Deccan Chargers,5.2,11.5,22.0,2.411764705882353,2.0
KD Karthik,2010-04-18,Feroz Shah Kotla,Deccan Chargers,12.4,25.818181818181817,18.22222222222222,20.78540772532189,0.0
Yuvraj Singh,2010-04-18,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,17.0,10.5,21.5625,21.857142857142858,21.0
JA Morkel,2010-04-18,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,21.2,14.0,12.444444444444445,14.552238805970148,4.0
ML Hayden,2010-04-18,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,12.0,5.0,38.0,34.59375,8.0
TM Dilshan,2010-04-18,Feroz Shah Kotla,Deccan Chargers,8.8,9.625,32.875,23.06,1.0
M Manhas,2010-04-18,Feroz Shah Kotla,Deccan Chargers,22.8,20.5,10.5,13.526315789473685,35.0
A Symonds,2010-04-18,Feroz Shah Kotla,Delhi Daredevils,31.4,54.0,28.333333333333332,27.055555555555557,23.0
